CATEGORY,FUEL,UTILITY,STATION,STATE,Latitude,Longitude,Name,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
THERMAL,DIESEL,A&N ADM,AND. NICOBAR DG,ANDAMAN NICOBAR,11.42,92.42,Andaman Diesel Plant,40.05,13,17.33
THERMAL,COAL,APPDCL,DAMODARAM SANJEEVAIAH TPS,ANDHRA PRADESH,14.327,80.120296,Sri Damodaram Sanjeevaiah Thermal Power Plant unit-I,1600,708,746.1
THERMAL,COAL,APGENCO,Dr. N.TATA RAO TPS,ANDHRA PRADESH,16,80.537,Dr. Narla Tatarao Thermal Power Station,1760,1129,1035.37
THERMAL,NATURAL GAS,GAUTAMI,GAUTAMI CCPP,ANDHRA PRADESH,17.065,82.106,GVK Gautami power station,464,0,0
THERMAL,NATURAL GAS,GMR ENERG,GMR Energy Ltd - Kakinada,ANDHRA PRADESH,16.92,81.83,GMR Energy Plant,220,0,0
THERMAL,NATURAL GAS,SPGL,GODAVARI CCPP,ANDHRA PRADESH,17.0587,82.3097,Godavari (Kakinada) Gas CCPP,208,52,97.1
THERMAL,NATURAL GAS,GREL,GREL CCPP (Rajahmundry),ANDHRA PRADESH,16.921,81.804,GMR POWER PLANT VEMAGIRI UNIT,768,0,0
THERMAL,NATURAL GAS,APEPDCL,JEGURUPADU PHASE I CCPP,ANDHRA PRADESH,16.93,81.72,Jegurupadu Closed Combined Power Plant,235.4,0,103.57
THERMAL,NATURAL GAS,GVKP&IL,JEGURUPADU PHASE II CCPP,ANDHRA PRADESH,16.93,81.861,GVK Jegurupadu Power Plant,220,21,0
THERMAL,NATURAL GAS,KONA,KONASEEMA CCPP,ANDHRA PRADESH,16.73,81.86,Konsaseema Power Plant,445,0,0
THERMAL,NATURAL GAS,KONDAPALI,KONDAPALLI CCPP,ANDHRA PRADESH,16.64,80.55,Kondapalli Natural Gas Power Plant,350,51,101.12
THERMAL,NATURAL GAS,KONDAPALI,KONDAPALLI EXTN CCPP .,ANDHRA PRADESH,16.64,80.555,Lanco Kondapalli Power Station,366,0,0
THERMAL,NATURAL GAS,KONDAPALI,KONDAPALLI ST-3 CCPP,ANDHRA PRADESH,16.856,81.958,KONDAPALLI ST,742,42,0
THERMAL,DIESEL,LVS POWER,LVS POWER DG,ANDHRA PRADESH,17.845,83.237,LVS Power Ltd,36.8,0,0
HYDRO,HYDRO,APGENCO,NAGARJUN SGR RBC EXTN. HPS,ANDHRA PRADESH,16.575,79.312,NAGARJUNA SAGAR HYDRO POWER PLANT,0,0,0
HYDRO,HYDRO,APGENCO,NAGARJUN SGR RBC HPS,ANDHRA PRADESH,16.578,79.314,Nagarjuna Sagar Main Power House,90,13,0
HYDRO,HYDRO,APGENCO,NAGARJUN SGR TPD HPS,ANDHRA PRADESH,16.62,79.49,Nagarjun Hydro Power Plant,0,25,0
THERMAL,COAL,TPCIL,PAINAMPURAM TPP,ANDHRA PRADESH,14.328,80.14,Sembcorp Energy India Limited,1320,764,608.17
THERMAL,NATURAL GAS,BSES(P),PEDDAPURAM CCPP,ANDHRA PRADESH,17.07,82.118,Peddapuram Gas Power Plant,220,4,0
THERMAL,COAL,APGENCO,RAYALASEEMA TPS,ANDHRA PRADESH,17.065,78.463,Rayalaseema Thermal Power Plant,1050,639,496.63
THERMAL,COAL,SGPL,SGPL TPP,ANDHRA PRADESH,14.342,80.139,Sembcorp Gayathri Power Limited,660,0,311.88
THERMAL,COAL,NTPC Ltd.,SIMHADRI,ANDHRA PRADESH,17.596,83.087,NTPC-Simhadri,2000,1299,1075.41
THERMAL,COAL,SEPL,SIMHAPURI TPS,ANDHRA PRADESH,14.205,80.088,Simhapuri Energy Limited,600,380,12.77
HYDRO,HYDRO,APGENCO,SRISAILAM HPS,ANDHRA PRADESH,16.08,78.897,Srisailam Hydro Power Plant,770,48,68.75
THERMAL,COAL,MEL,THAMMINAPATNAM TPS,ANDHRA PRADESH,14.212,80.091,Meenakshi Energy Power Plant,300,150,75.29
HYDRO,HYDRO,APGENCO,UPPER SILERU HPS,ANDHRA PRADESH,18.05,82.03,Sileru Hydro Plant,240,44,32.89
THERMAL,NATURAL GAS,VEMAGIRI,VEMAGIRI CCPP,ANDHRA PRADESH,16.92,81.804,GMR POWER PLANT VEMAGIRI UNIT,370,0,0
THERMAL,NATURAL GAS,APGCL,VIJJESWARAM CCPP,ANDHRA PRADESH,16.934,81.724,Andhra Pradesh Gas Power Corporation Limited,272,59,86.96
THERMAL,COAL,HNPC,VIZAG TPP,ANDHRA PRADESH,17.563,83.139,HINDUJA NATIONAL POWER CORPORATION LIMITED,1040,247,277.64
HYDRO,HYDRO,NEEPCO.,KAMENG HPS,ARUNACHAL PRADESH,27.164,92.682,Kameng Hydro Electric Plant,0,0,0
HYDRO,HYDRO,NEEPCO.,PARE HPS,ARUNACHAL PRADESH,27.257,93.793,Department of Hydro Power,0,26,0
HYDRO,HYDRO,NEEPCO.,RANGANADI HPS.,ARUNACHAL PRADESH,27.342,93.816,Ranganadi Hydro Electric Power Project,405,36,31.69
THERMAL,COAL,NTPC Ltd.,BONGAIGAON TPP,ASSAM,26.444,90.3668,Bongaigaon Thermal Power Project,250,93,127.47
THERMAL,COAL,APGPCL,CHANDRAPUR(ASSAM) TPS,ASSAM,26.18,91.824,Assam Power Generation Corporation Limited,60,0,0
